,course_id,course_name,year
0,0,Biological and physiological transport,2006-2007
1,1,Biological and physiological transport,2007-2008
2,2,Special topics in reactor physics,2015-2016
3,3,Special topics in reactor physics,2014-2015
4,4,Special topics in reactor physics,2013-2014
5,5,Special topics in reactor physics,2017-2018
6,6,Special topics in reactor physics,2018-2019
7,7,Adaptation and learning,2018-2019
8,8,Adaptation and learning,
9,9,Adaptation and learning,2019-2020
10,10,Spectroscopie analytique,2011-2012
11,11,Spectroscopie analytique,2008-2009
12,12,Spectroscopie analytique,2013-2014
13,13,Spectroscopie analytique,2009-2010
14,14,Spectroscopie analytique,2010-2011
15,15,Spectroscopie analytique,2012-2013
16,16,Spectroscopie analytique,2007-2008
17,17,Spectroscopie analytique,2014-2015
18,18,Bioinformatics II,2009-2010
19,19,Bioinformatics II,2005-2006
20,20,Bioinformatics II,2006-2007
21,21,Bioinformatics II,2007-2008
22,22,"Approche générale du management, Bergmann A.",2004-2005
23,23,Introduction to multiprocessor architecture,2017-2018
24,24,Introduction to multiprocessor architecture,2016-2017
25,25,Introduction to multiprocessor architecture,2019-2020
26,26,Introduction to multiprocessor architecture,2015-2016
27,27,Introduction to multiprocessor architecture,2018-2019
28,28,Théorie et critique du projet MA1 (Gueissaz),2012-2013
29,29,Heterogenous reaction engineering,2019-2020
30,30,Méthodes mathématiques de la physique,2005-2006
31,31,Méthodes mathématiques de la physique,2011-2012
32,32,Méthodes mathématiques de la physique,2004-2005
33,33,Méthodes mathématiques de la physique,2006-2007
34,34,Méthodes mathématiques de la physique,2007-2008
35,35,Méthodes mathématiques de la physique,2010-2011
36,36,Méthodes mathématiques de la physique,2008-2009
37,37,Méthodes mathématiques de la physique,2009-2010
38,38,Méthodes mathématiques de la physique,2012-2013
39,39,Theory of computation,2019-2020
40,40,Theory of computation,2017-2018
41,41,Theory of computation,2016-2017
42,42,Theory of computation,2018-2019
43,43,Theory of computation,2013-2014
44,44,Theory of computation,2015-2016
45,45,Theory of computation,2014-2015
46,46,"Organisation, économie et droit de la construction II",2017-2018
47,47,"Organisation, économie et droit de la construction II",2016-2017
48,48,"Organisation, économie et droit de la construction II",2007-2008
49,49,"Organisation, économie et droit de la construction II",2015-2016
50,50,"Organisation, économie et droit de la construction II",2010-2011
51,51,"Organisation, économie et droit de la construction II",2006-2007
52,52,"Organisation, économie et droit de la construction II",2005-2006
53,53,"Organisation, économie et droit de la construction II",2009-2010
54,54,"Organisation, économie et droit de la construction II",2012-2013
55,55,"Organisation, économie et droit de la construction II",2008-2009
56,56,"Organisation, économie et droit de la construction II",2004-2005
57,57,"Organisation, économie et droit de la construction II",2014-2015
58,58,"Organisation, économie et droit de la construction II",2011-2012
59,59,"Organisation, économie et droit de la construction II",2013-2014
60,60,Enjeux éthiques contemporains : l'ingénieur dans la société I,2010-2011
61,61,Enjeux éthiques contemporains : l'ingénieur dans la société I,2011-2012
62,62,Ouvrages hydrauliques et aménagements hydroélectriques,2019-2020
63,63,Ouvrages hydrauliques et aménagements hydroélectriques,2018-2019
64,64,Ouvrages hydrauliques et aménagements hydroélectriques,2015-2016
65,65,Ouvrages hydrauliques et aménagements hydroélectriques,2017-2018
66,66,Ouvrages hydrauliques et aménagements hydroélectriques,2016-2017
67,67,Theoretical computer science,2008-2009
68,68,Theoretical computer science,2007-2008
69,69,Theoretical computer science,2013-2014
70,70,Theoretical computer science,2014-2015
71,71,Theoretical computer science,2009-2010
72,72,Basics of mobile robotics,2018-2019
73,73,Basics of mobile robotics,2019-2020
74,74,Fundamentals of biosensors and electronic biochips,2018-2019
75,75,Fundamentals of biosensors and electronic biochips,2016-2017
76,76,Fundamentals of biosensors and electronic biochips,2014-2015
77,77,Fundamentals of biosensors and electronic biochips,2019-2020
78,78,Fundamentals of biosensors and electronic biochips,2015-2016
79,79,Fundamentals of biosensors and electronic biochips,
80,80,Fundamentals of biosensors and electronic biochips,2017-2018
81,81,Introduction to combinatorics,2008-2009
82,82,Introduction to combinatorics,2010-2011
83,83,Scientific literature analysis in neuroscience,2018-2019
84,84,Scientific literature analysis in neuroscience,2019-2020
85,85,Scientific literature analysis in neuroscience,2015-2016
86,86,Scientific literature analysis in neuroscience,2014-2015
87,87,Construction durable,2010-2011
88,88,Construction durable,2011-2012
89,89,Thermodynamique chimique II,2004-2005
90,90,Thermodynamique chimique II,2005-2006
91,91,Thermodynamique chimique II,2006-2007
92,92,Thermodynamique chimique II,2007-2008
93,93,Thermodynamique chimique II,2008-2009
94,94,Thermodynamique chimique II,2009-2010
95,95,Thermodynamique chimique II,2011-2012
96,96,Thermodynamique chimique II,2010-2011
97,97,Thermodynamique chimique II,2013-2014
98,98,Thermodynamique chimique II,2012-2013
99,99,Construction en bois pour ingénieurs civils II,2005-2006
100,100,La recherche dans tous ses états II,2018-2019
101,101,La recherche dans tous ses états II,2016-2017
102,102,La recherche dans tous ses états II,2017-2018
103,103,La recherche dans tous ses états II,2015-2016
104,104,La recherche dans tous ses états II,2019-2020
105,105,La recherche dans tous ses états II,2014-2015
106,106,Bioelectronics and biomedical microelectronics,2017-2018
107,107,Bioelectronics and biomedical microelectronics,2019-2020
108,108,Bioelectronics and biomedical microelectronics,2018-2019
109,109,Discrete structures,2006-2007
110,110,Discrete structures,2007-2008
111,111,Discrete structures,2009-2010
112,112,Discrete structures,2010-2011
113,113,Discrete structures,2008-2009
114,114,Discrete structures,2011-2012
115,115,Discrete structures,2013-2014
116,116,Discrete structures,2015-2016
117,117,Discrete structures,2012-2013
118,118,Discrete structures,2014-2015
119,119,Distributed information systems,2011-2012
120,120,Distributed information systems,2016-2017
121,121,Distributed information systems,2017-2018
122,122,Distributed information systems,2015-2016
123,123,Distributed information systems,2018-2019
124,124,Distributed information systems,2004-2005
125,125,Distributed information systems,2006-2007
126,126,Distributed information systems,2010-2011
127,127,Distributed information systems,2005-2006
128,128,Distributed information systems,2013-2014
129,129,Distributed information systems,2012-2013
